en,ru
"Moscow, Siromatnitsheskiy, 1, bld. 6","Москва, Сыромятнический пер., 1, стр. 6"
Tel.: +7 (495) 917 4646,Тел.: +7 (495) 917 4646
"When: October, 8th, 07.00 p.m.","Когда: 8 октября 2014 г., 19.00"
"Tel.: (495) 691-37-47, (495) 691-31-34","Тел.: (495) 691-37-47, (495) 691-31-34"
"More information: www.akfmo.org, Flyer","Более подробная информация: www.akfmo.org, Флайер"
Event: ERASER,событие: ERASER
"End: Sun, 08 March, 2015","конец: Вск, 08 Марта, 2015"
"4th of March 2014, 7 pm","4 марта 2014, в 19.00"
"Start: Sun, 27 April, 2014","начало: Вск, 27 Апреля, 2014"
"End: Sun, 27 April, 2014","конец: Вск, 27 Апреля, 2014"
City: Yaroslavl,город: Ярославль
With support of:Raiffeisenbank,При поддержке: ЗАО «Райффайзенбанк»
“Blubb. Stories to dip into”,"«Бульк. Истории, в которые стоит нырнуть с головой»"
27th of April 2014,27 апреля 2014
"Yaroslavl, Ul. Lenina, 24a","Ярославль, пр. Ленина, 24а"
Tel.: +7 (4852) 732 610,Тел.: +7 (4852) 732 610
www.dkdobrynina.ru,www.dkdobrynina.ru
"Start: Wed, 27 May, 2015","начало: Срд, 27 Мая, 2015"
"End: Wed, 17 June, 2015","конец: Срд, 17 Июня, 2015"
Partners:,Партнёры:
"Where: Peresvetov Gallery Moscow,Peresvetov per. 4/1","Где : Галерея ""Пересветов переулок"", Пересветов переулок 4/1,"
"Start: Wed, 10 February, 2016","начало: Срд, 10 Февраля, 2016"
"End: Sun, 13 March, 2016","конец: Вск, 13 Марта, 2016"
MMOMA,MMOMA
Opening of exhibition: 10.02.2016 at 7 p.m.,Официальное открытие: 10.02.2016 в 19:00
"Start: Thu, 24 September, 2015","начало: Чтв, 24 Сентября, 2015"
"End: Sun, 27 September, 2015","конец: Вск, 27 Сентября, 2015"
Viennacontemporary has several priorities:,Viennacontemporary имеет несколько направлений:
"Start: Sat, 28 September, 2013","начало: Сбт, 28 Сентября, 2013"
"End: Sat, 28 September, 2013","конец: Сбт, 28 Сентября, 2013"
www.renatounterberg.com,www.renatounterberg.com
More concerts by Renator Unterberg in Moscow,Последуюшие концерты в Москве
www.babyconcert.livejournal.com,www.babyconcert.livejournal.com
www.dreifriseure.com,www.dreifriseure.com
"28th of September, starting at 9 pm",28 сентября с 21.00
"Start: Thu, 27 June, 2013","начало: Чтв, 27 Июня, 2013"
"End: Thu, 27 June, 2013","конец: Чтв, 27 Июня, 2013"
27th of June 2013,27 июня 2013
Beginning at 3 p.m.,Начало: 15.00
"Saint Petersburg, Dekabristov, 37","Санкт-Петербург, Декабристов, 37"
Tel.: +7 (812) 326 4141,Тел.: +7 (812) 326 4141
Projects,Проекты
عربي,عربي
"Baden, Switzerland","Баден, Швейцария"
Inselspital,Inselspital
Dubai – United Arab Emirates,Дубай – ОАЭ
Address,Адрес
"20251 Hamburg, Germany","20251 Hamburg, Germany"
"Telephone: +49 40 7410-56810, Fax: +49 40 7410-57598","Телефон: +49 40 7410-56810, Факс: +49 40 7410-57598"
E-mail: .(JavaScript must be enabled to view this email address),E-mail: .(JavaScript must be enabled to view this email address)
Web Design: DesignBits,Web Design: DesignBits
Certificate-No.:,Certificate-No.:
QS-6568HH,QS-6568HH
EM-8126HH,EM-8126HH
"Muri, Switzerland","Мури, Швейцария"
This represents a profit margin of approximately 0.5%.,"Это соответствует рентабельности в примерно 0,5 %."
www.uke.de,www.uke.de
Our services,Наши задачи
Extensive medical expertise regarding the planning and operation of hospitals,Планирование и эксплуатация больниц специалистами со знанием медицины
Company Vision,Предприятие
Further information,Дальнейшая информация
Analysis,Анализ
We examine the economic viability of planned or existing objects.,Мы проводим экспертизу касательно рентабельности планирующихся и эксплуатируемых объектов.
Management,Руководство
We supply the medical and/or commercial executive personnel.,Мы подбираем медицинский и коммерческий руководящий персонал.
Our experts…,Наши эксперты…
Hospital management is a highly complex task.,Менеджмент больницы представляет собой очень серьёзную задачу.
"Bern, Switzerland","Берн, Швейцария"
"Burgdorf / Langnau, Switzerland","Эмменталь, Швейцария"
"Basel, Switzerland","Базель, Швейцария"
"Göttingen, Germany","Гёттинген, Германия"
The new wards accommodate approx. 650 beds.,Новое здание рассчитано примерно на 650 мест.
Construction of the building is scheduled to start in 2012.,Начало строительных работ запланировано на 2012 год.
"São Paulo, Brazil","Сао Пауло, Бразилия"
"Kuwait City, Kuwait","город Кувейт, Кувейт"
A five-year management contract was signed.,Договор по менеджменту центра был заключён на 5 лет.
The UKE developed the business plan.,УКЭ был разработан бизнес-план.
Hellmann Worldwide Logistics GmbH  Co. KG,Hellmann Worldwide Logistics GmbH  Co. KG
www.hellmann.net,www.hellmann.net
"Телефон: +49 40 7410-56810, Факс: +49 40 7410-57598","Телефон: +49 40 7410-56810, Факс: +49 40 7410-57598"
"Aarau, Switzerland","Аарау, Швейцария"
"Sanaa, Yemen","Сана, Йемен"
The project finished in autumn 2011.,Проект был завершён в сентябре 2011 года.
"Buchholz, Germany","Бухгольц, Германия"
"Dubai, United Arab Emirates","Дубай, ОАЭ"
"Aachen, Germany","Ахен, Германия"
"In addition, the UKA has an outpatient surgery center.","Более того, УКА имеет в своем распоряжении Центр амбулаторной хирургии."
- EN,- RU
How it works,Как это работает
A-,A-
A,A
A+,A+
is for sale,продается
is for rent,сдается в аренду
has been sold,уже продан
Domain not found,Домен не найден
This domain has been sold.,Этот домен уже продан
placeholder(amount),placeholder(amount)
Buy,Купить
month price per month,Стоимость в месяц
minimum offer is:,Минимальное предложение:
minimum offer is: EUR,Минимальное предложение: EUR
12,12
24,24
price per month,Стоимость в месяц
Visitors last month,Количество посетителей за последний месяц
Google Page Rank 3,Google PageRank 3
How it Works,Как это работает
Secure financial transactions through its headquarters in Vienna,"Безопасные финансовые операции с компанией, со штаб-квартирой в Вене"
We can help you transfer your domain safely .,Мы поможем вам передать домен безопасно и надежно
100% Money Back Guarantee,100 % гарантия возврата денег
100% Anonymous,100 % анонимность
Help with any transfer problems,Помощь при возникновении проблем в процессе передачи
Visitors,Посетители
Any questions?,Есть вопросы?
Payment options:,Способы оплаты:
you have no access to this page,у вас нет права доступа на эту страницу
The requested resource was not found.,Запрашиваемый ресурс не найден.
An error has occurred while processing your request.,В процессе обработки вашего запроса произошла ошибка.
Contact us - Today,Contact us - Today
Dutch,Dutch
Espaniol,Espaniol
Catch Domain 1. Company Profile,1. Профиль компании
2. Corporate goals,2. Цели компании
3. Company Details,3. Данные о компании
"Server, domains and programming","Серверы, домены и программирование"
"Siebenbrunnengasse 17, Top 9","Siebenbrunnengasse 17, Top 9"
Austria / Europe,Австрия/Европа
General place of jurisdiction: Commercial Court of Vienna,Территориальная подсудность: Коммерческий суд г. Вена
And how does it work?,How does it work?
Help / FAQ,Help / FAQ
Catch a Domain,Catch a Domain
Company,Company
About Us,About Us
Terms and Conditions,Terms and Conditions
General Terms,General Terms
golem.eu,golem.eu
golem.nl,golem.nl
golem.be,golem.be
golem.fr,golem.fr
golem.co.uk,golem.co.uk
golem.ca,golem.ca
golem.me,golem.me
golem.us,golem.us
golem.asia,golem.asia
golem.com.au,golem.com.au
Copyright © 2013 host.at Software GmbH - All rights reserved.,Copyright © 2013 host.at Software GmbH - All rights reserved.
Start,Start
About us,О Фирме
Contact,Контакт
Designed by TiNS,Designed by TiNS
tel. +48 61 8715120,tel. +48 61 8715120
Message:,Письмо:
First and last name:,Имя и фамилия:
Company:,Фирма:
Email:,Электронная почта:
Telephone:,Телефон:
These details are entirely voluntary.,Эти данные абсолютно добровольны.
Copyrights,Авторские права
Copyright 2003 GekaKonus GmbH. All rights reserved.,Copyright 2007 GekaKonus GmbH. Все права сохраняются.
1.,1.
2.,2.
3.,3.
4./5.,4./5.
6.,6.
7.,7.
8.,8.
9.,9.
10.,10.
11.,11.
13.,13.
13a.,13a.
14.,14.
15.,15.
15a.,15a.
16.,16.
16a.,16a.
17.,17.
18.,18.
19.,19.
Production/Equipment,производство/оснащение
Technical Data,технические данные
History,История
2006,2006
2001 to 1999,2001 - 1999
Application,Применение
In all industrial heating processes e.g.,"Во всех промышленных нагревательных процессах, напр.,"
Chemical industry,нефтяная промышленность
Paper and cardboard industry,бумажная и картонная промышленность
Laundries,прачечные
to the Advantages,Преимущества
Our Spares  Services:,Запасные части  сервис:
Advantages,Преимущества
The released saturated steam is dry.,Отобранный насыщенный пар - сухой.
Please log in with vour user name and your password:,Please log in with vour user name and your password:
Last name:*,Имя:*
First name:,Фамилия:
Company:*,Фирма:*
Email:*,Email:*
Phone:,Телефон:
2006 to 2002,2006 - 2002
Advantages,Преимущества:
back to the Application,Применение
Production,Производство
Equipment,Оснащение
The boiler equipment is for 24-hour operation without supervision.,Оснащение котла производится для 24-х часовой эксплуатации без постоянного надзора.
The output capacity is controlled by pressure.,Регулирование мощности производится в зависимости от давления.
Heating and Cooling Production/Equipment,производство/оснащение
The boiler equipment is for 72-hour operation without supervision.,Оснащение котла производится для 72-х часовой эксплуатации без постоянного надзора.
The capacity can be controlled by different controlling systems.,Регулирвоание мощности может производиться при помощи различных регулирующих систем.
Pressure control:,регулирование давления:
Our Company,Предприятие
The same applies to company logos and signs.,Это имеет силу прежде всего для фирменных знаков и обозначений.
We hope that we meet your expectations.,"Мы надеемся, что мы выполнили ваши ожидания."
steam flow rate up to 3.500 kg/h and,Количество пара: до 3.500 кг/ч
Control,Регулирвоание и контроль
A permanent supervision of the following parameters:,Постоянный контроль производится для следующих параметров:
Stream Pressure - Maximum,давление пара - максимальное давление
Capacity Range:,Мощность:
Operating pressure: 30 - 90 bar,Рабочее давление: 30 - 90 бар
Welcome,Добро пожаловать
GekaKonus ® is a global supplier in following sectors:,GekaKonus ® является ведушим поставщиком в следующих секторах:
Application,Применение:
A permanent supervision of the following parameters,Постоянный контроль
Steam pressure - Operation,давление пара - работа
Steam pressure - maximum,давление пара - максимальное
back to the Production,Производство
Permanent Monitoring,Постоянный контроль
Water level low,минимальный уровень воды в котле
Steam pressure,давление пара
back to the Production,производство
Production/Equipment,Производство/оснащение
The capacity is controlled by pressure.,Мощность регулируется в зависимости от давления пара.
Flue gas temperature up to 1200°C,Температура дымового газа: до 1200°C
Steam output: up to 25 t/h,Количество пара: до 25 т/ч
Steam working pressure: up to 20 bar,Рабочее давление пара: до 20 бар
10a.,10a.
10b.,10b.
12.,12.
16b.,16b.
20.,20.
21.,21.
22.,22.
23.,23.
24.,24.
25.,25.
26.,26.
26a.,26a.
26b.,26b.
27a.,27a.
27b.,27b.
28a.,28a.
28b.,28b.
33.,33.
Non return valve,обратный клапан
74tv.ru,74tv.ru
2023597,2023597
10256,10256
130743,130743
593,593
696488,696488
1614,1614
1618,1618
2018516,2018516
5175,5175
130573,130573
423,423
695994,695994
1107,1107
PayPal,PayPal
About us,About us
Paypal,Paypal
Credit card,Credit card
Delivery from the USA,Delivery from the USA
Cost of delivery,Cost of delivery
Delivery from China,Delivery from China
Forwarders,Forwarders
MyOnlineStore.ru,MyOnlineStore.ru
Personal Belongings,Товары для личного пользования
the nature and quantity of the goods;,характера и количество товаров;
Cost of delivery,Delivery
"Moreover, the JETfloat® pontoon systems are completely weather resistant.","Кроме того, они совершенно устойчивы к любым природным воздействиям."
Technical details of the floating elements,Техническое описание плавучих элементов
Single pass: 350 kg/m2,Однослойный: 350 кг/м2
Double pass: 700 kg/m2,Двухслойный: 700 кг/м2
"Triple pass: 1,050 kg/m2",Трехслойный: 1.050 кг/м2
-60°C / +80°C,-60°C / +80°C
Pontoon raw materials,Исходный материал понтона
Floating stages for all events,Сцены на воде для любого события
Assembly work at an event,Монтажные работы на мероприятии
rent a float can provide you with the following:,rent a float предлагает Вам:
Careful project planning,Тщательное планирование проекта
Technical calculations by an expert,"Технические расчеты, выполненные профессионалом"
More convincing facts:,Более убедительные факты:
"Trained, experienced and responsible staff","Квалифицированный, опытный и ответственный персонал"
Close collaboration with the manufacturer JETfloat® International,Тесное сотрудничество с производителем JETfloat® International
Permanent continued training of our employees,Постоянное повышение квалификации наших сотрудников
Have we aroused your interest?,Мы заинтересовали Вас?
"Contact us, we would be happy to return your call!","Свяжитесь с нами, мы с удовольствием Вам перезвоним!"
Email address,Электронный адрес
Phone (incl. country code),Телефон (с кодом страны)
Contact us!,Свяжитесь с нами!
Pontoon floating platforms for water sports,Понтонные сооружения (пирсы) для водного спорта
"• First, enter text for translation.",Improved the translation history module.
Keyboard is synchronized with the dictionary,Keyboard is synchronized with the dictionary
Translate to Russian,Translate to Russian
All dictionaries,All dictionaries
Translation,Translation
Moretranslations,Moretranslations
Automotive,Automotive
Biology,Biology
Business,Business
Economics,Economics
Geophysics,Geophysics
Mechanical,Mechanical
Networking,Networking
õ,õ
Õ,Õ
ú,ú
ü,ü
Ü,Ü
æ,æ
¿,¿
µ,µ
Æ,Æ
§,§
«,«
»,»
©,©
¹,¹
º,º
·,·
How to Translate,How to Translate
do v [d],do v [d]
it doesn't do to complain,it doesn't do to complain
it'll only do you good,it'll only do you good
I like my meat very well done,I like my meat very well done
the potatoes will be done in 10 minutes,the potatoes will be done in 10 minutes
that's done it,that's done it
I have done with my work,I have done with my work
let us have done with it,let us have done with it
flowers will not do in this soil,flowers will not do in this soil
how do you do?,how do you do?
здравствуйте!,здравствуйте!
I think you've been done,I think you've been done
I do not speak French,I do not speak French
я не говорю по-французски,я не говорю по-французски
Do you speak French?,Do you speak French?
He did not see me,He did not see me
Did you not see me?,Did you not see me?
do come,do come
I did say so and I do say so now,I did say so and I do say so now
he works as much as you do,he works as much as you do
he likes bathing and so do I,he likes bathing and so do I
well do I remember it,well do I remember it
1 2 3 4 5 6 7 8 9 10,the score was 1 to 3
1 2,1 2 3 4 5 6 7 8 9 10
English dictionaries,English dictionaries
Phrases with axiomatic found in the following dictionaries:,Phrases with in found in the following dictionaries: English-Russian Computer
Word axiomatic has been found in the following dictionaries:,Word in has been found in the following dictionaries:
English-Italian,English-Italian
English-French,English-French
English-Portuguese,English-Portuguese
Translation of words included in the phrase,Translation of words included in the phrase
social change,social change
for a change,for a change
no change for Oxford,no change for Oxford
времена меняются;,времена меняются;
it is no laughing matter,it is no laughing matter
English,a matter of course
so sorry,I am so sorry
abase oneself so far as to do something,abase oneself so far as to do something
a day or so,a day or so
all the more so,all the more so
and so forth,and so forth
and so on,and so on
be so good as to come,be so good as to come
be so kind as to shut the door,be so kind as to shut the door
be the weather ever so bad I must go,be the weather ever so bad I must go
"come, be not so hasty!","come, be not so hasty!"
"подождите, подождите, не торопитесь!","подождите, подождите, не торопитесь!"
dear me! is it so?,dear me! is it so?
неужели?,неужели?
don't be so cagey,don't be so cagey
don't carry on so!,don't carry on so!
ever so,ever so
every so often,every so often
give a year or so either way,give a year or so either way
he has never had it so good,he has never had it so good
he is not so black as he is painted,he is not so black as he is painted
"он не так плох , как его изображают","он не так плох , как его изображают"
he is not so simple as you suppose,he is not so simple as you suppose
"он не так прост , как вы думаете","он не так прост , как вы думаете"
he is so tall that he reaches the ceiling,he is so tall that he reaches the ceiling
he must be forty or so,he must be forty or so
he says so himself,he says so himself
I am positive that this is so,I am positive that this is so
"я уверен , что это так","я уверен , что это так"
I am so sorry,I am so sorry
I believe so,I believe so
"кажется , так; по-моему , так; да (в ответе)","кажется , так; по-моему , так; да (в ответе)"
if so,if so
I hope so,I hope so
I know that it was so,I know that it was so
I love my job and then it pays so well,I love my job and then it pays so well
in so many words,in so many words
in so much that,in so much that
"настолько , что","настолько , что"
I should say so,I should say so
is that so,is that so
разве,разве
I suppose so,I suppose so
"вероятно, должно быть","вероятно, должно быть"
it is a shame he is so clumsy,it is a shame he is so clumsy
"жаль , что он так неловок","жаль , что он так неловок"
it is to my interest to do so,it is to my interest to do so
it may be so,it may be so
"возможно , что это так","возможно , что это так"
it pleased him to do so,it pleased him to do so
it so fell out that...,it so fell out that...
"случилось так, что...","случилось так, что..."
I was ill and so I could not come,I was ill and so I could not come
just so,just so
like so,like so
not a quarter so good as,not a quarter so good as
"далеко не так хорош , как","далеко не так хорош , как"
not so dusty,not so dusty
not so hot,not so hot
not so many as,not so many as
"oh , is that so","oh , is that so"
or so,or so
quite so,quite so
"о да, несомненно","о да, несомненно"
so as to,so as to
so be it,so be it
so far,so far
so far as,so far as
"настолько , насколько","настолько , насколько"
so far as I know,so far as I know
so far forth,so far forth
so far so good,so far so good
so goes the world,so goes the world
how goes the world with you?,how goes the world with you?
so long,so long
so much for that,so much for that
so much the better,so much the better
so soon as,so soon as
so that,so that
so that is that,so that is that
so that's the time of day,so that's the time of day
so to say,so to say
so to speak,so to speak
so wags the world,so wags the world
so what,so what
so you are back,so you are back
"итак , вы вернулись","итак , вы вернулись"
"stay , not so fast","stay , not so fast"
take the liberty of doing so and so,take the liberty of doing so and so
take the liberty to do so and so,take the liberty to do so and so
thank you ever so much,thank you ever so much
that is certainly so,that is certainly so
"это , безусловно , так","это , безусловно , так"
that is not so,that is not so
это не так,это не так
the explosion was so loud that he was deafened,the explosion was so loud that he was deafened
there are various reasons for believing so,there are various reasons for believing so
this may well be so,this may well be so
thus and so,thus and so
what led you to think so?,what led you to think so?
why are you so late,why are you so late
why do you so seldom regard my wishes?,why do you so seldom regard my wishes?
"why, yes, I think so","why, yes, I think so"
"Я думаю, да","Я думаю, да"
you are young and so am I,you are young and so am I
you don't say so,you don't say so
you may well say so,you may well say so
you told me so yourself,you told me so yourself
what led you to think so? -,what led you to think so? -
Business,business man
to fly across the continent,to fly across the continent
the children flew to meet their mother,the children flew to meet their mother
"it is late, we must fly","it is late, we must fly"
fly in the face,fly in the face
fly in the face of Providence,fly in the face of Providence
fly into a passion,fly into a passion
fly into a rage,fly into a rage
he flew off the handle,he flew off the handle
fly on,fly on
fly to somebody's arms,fly to somebody's arms
he got off to a flying start,he got off to a flying start
make the money fly,make the money fly
go on a bat,на тот свет
come to bat,come to bat
warthog,warthog
war-time,war-time
warty,warty
war-whoop,war-whoop
war-worn,war-worn
was-bird,was-bird
wash-and-wear,wash-and-wear
wash-basin,wash-basin
wash-board,wash-board
wash-boiler,wash-boiler
wash-bowl,wash-bowl
wash-cloth,wash-cloth
wash-day,wash-day
wash-drawing,wash-drawing
washed-out,washed-out
that theory won't wash,that theory won't wash
at the wash,at the wash
have a wash,have a wash
it will all come out in the wash,it will all come out in the wash
wash away one's sin,wash away one's sin
смывать (также перен.),смывать (также перен.)
wash one's hands,wash one's hands
suite of rooms,suite of rooms
east-bound,east-bound
Easter,Easter
easterner,easterner
easting,easting
easy-going,easy-going
eater,eater
eating-house,eating-house
"See also: ease , East , easy","See also: ease , East , easy"
Phrases with easy,Phrases with easy
as easy as ABC,as easy as ABC
as easy as falling off a log,as easy as falling off a log
as easy as pie,as easy as pie
at an easy pace,at an easy pace
at an easy rate,at an easy rate
easy does it,easy does it
easy money,easy money
easy of access,easy of access
easy on the eye,easy on the eye
easy on the trigger,easy on the trigger
богатство,богатство
free and easy,free and easy
go easy on,go easy on
it is easy to talk like that,it is easy to talk like that
make your mind easy,make your mind easy
take it easy,take it easy
this isn't easy what,this isn't easy what
within easy reach of the railway,within easy reach of the railway
wheel-house,wheel-house
wheelman,wheelman
wheelsman,wheelsman
wheelwright,wheelwright
wheezy,wheezy
whelk,whelk
whelm,whelm
when,when
whenever,whenever
whensoever,whensoever
where,where
whereas,whereas
when,когда вы придете к нам?
"время, дата","время, дата"
he told me the when and the why of it,he told me the when and the why of it
till when can you stay?,till when can you stay?
come when you would,come when you would
"приходите, когда захотите","приходите, когда захотите"
during the time when you were away,during the time when you were away
he had scarce arrived when he was told that,he had scarce arrived when he was told that
he had scarcely arrived when he was told that,he had scarcely arrived when he was told that
hit a man when he is down,hit a man when he is down
how can he buy it when he has no money?,how can he buy it when he has no money?
I don't know when she will come,I don't know when she will come
if and when,if and when
I rued the day when,I rued the day when
know a good thing when one sees it,know a good thing when one sees it
noise is a distraction when one is working,noise is a distraction when one is working
she flushed up when I spoke to her,she flushed up when I spoke to her
she flushed when I spoke to her,she flushed when I spoke to her
when all is said and done,when all is said and done
в конечном счете,в конечном счете
when did you see him?,when did you see him?
when does the train leave,when does the train leave
when is class?,when is class?
when I see him next,when I see him next
when my last was born,when my last was born
сидя,сидя
when speaking,when speaking
when the band begins to play,when the band begins to play
when the sea gives up its dead,when the sea gives up its dead
when will you come and see us?,when will you come and see us?
когда вы придете к нам?,когда вы придете к нам?
a,a
a-,a-
aard-wolf,aard-wolf
abaca,abaca
abaction,abaction
abacus,abacus
Abaddon,Abaddon
abaft,abaft
I wonder who it was,I wonder who it was
I shouldn't wonder if,I wonder who it was
I wonder who it was,who did you give it to?
from ten to twenty thousand,ему десять лет
a girl of ten,a girl of ten
from ten to twenty thousand,from ten to twenty thousand
he gave ten shillings for the hat,he gave ten shillings for the hat
he is ten years old,he is ten years old
he sticks at his work ten hours a day,he sticks at his work ten hours a day
I have been here since ten o'clock,I have been here since ten o'clock
in tens,in tens
it is on for ten o'clock,it is on for ten o'clock
nine times out of ten,nine times out of ten
обычно,обычно
ten times as big,ten times as big
ten times as large,ten times as large
ten to one,ten to one
ten to one he will find it out,ten to one he will find it out
there are ten of us counting the children,there are ten of us counting the children
we had ten degrees of frost last night,we had ten degrees of frost last night
More translations,Russian Spanish
Translation,Translation of words included in the phrase
fashion-plate,fashion-plate
faster-than-sound,faster-than-sound
fasti,fasti
fat-guts,fat-guts
fat-head,fat-head
father-figure,father-figure
"деньги, богатство, мошна","деньги, богатство, мошна"
feed on the fat of one's memory,feed on the fat of one's memory
live on one's own fat,live on one's own fat
live on the fat of the land,live on the fat of the land
the fat is in the fire,the fat is in the fire
to run to fat,to run to fat
arm of a river,arm of a river
arms of a balance,arms of a balance
a shot in the arm,a shot in the arm
be armed with information,be armed with information
brother in arms,brother in arms
by the strong arm,by the strong arm
clasp in one's arms,clasp in one's arms
coat of arms,coat of arms
fling one's arms up,fling one's arms up
fold in one's arms,fold in one's arms
fold one's arms,fold one's arms
have a bone in one's arm,have a bone in one's arm
he came back minus an arm,he came back minus an arm
he had his arm in a sling,he had his arm in a sling
in arms,in arms
in the arms of Morpheus,in the arms of Morpheus
keep at arm's length,keep at arm's length
King of Arms,King of Arms
герольдмейстер,герольдмейстер
open out one's arms,open out one's arms
place of arms,place of arms
strain somebody in one's arms,strain somebody in one's arms
swing one's arms,swing one's arms
take by the arm,take by the arm
take up arms,take up arms
the arm of the law,the arm of the law
throw down one's arms,throw down one's arms
to arms!,to arms!
к оружию!,к оружию!
under one's arms,under one's arms
up in arms,up in arms
welcome with open arms,welcome with open arms
with open arms,with open arms
happy end,the world's end
end n [end],end n [end]
Phrases with happy,Phrases with world's
a cry broke from his lips,a cry broke from his lips
cry for the moon,cry for the moon
cry one's heart out,cry one's heart out
cry out with one voice,cry out with one voice
прибедняться,прибедняться
hue and cry,hue and cry
in full cry,in full cry
on the cry,on the cry
she had a good cry,she had a good cry
the popular cry,the popular cry
there is no use to cry over spilt milk,there is no use to cry over spilt milk
"to ask for quarter, to cry for quarter","to ask for quarter, to cry for quarter"
"to ask for quarter, to cry for quarter -","to ask for quarter, to cry for quarter -"
the men's clothing department,the men's clothing department
eau-de-vie,eau-de-vie
eat away at one's nerves,eat away at one's nerves
eat for the bar,eat for the bar
eat in,eat in
eat one's heart out,eat one's heart out
eat one's leek,eat one's leek
eat one's terms,eat one's terms
eat one's words,eat one's words
eat out of house and home,eat out of house and home
eat out of somebody's hand,eat out of somebody's hand
I will eat my boots,I will eat my boots
I will eat my hat,I will eat my hat
I will eat my head,I will eat my head
one must eat to live,one must eat to live
particular as to what one eats,particular as to what one eats
the food here isn't fit to eat,the food here isn't fit to eat
we eat that we may live,we eat that we may live
what is eating you,what is eating you
you may eat anything that you fancy,you may eat anything that you fancy
hip-roof,hip-roof
hire,hire
hire-purchase,hire-purchase
hirst,hirst
his,his
hispid,hispid
hiss,hiss
hist,hist
histiology,histiology
historicity,historicity
historiographer,historiographer
willow-pattern,willow-pattern
willowy,willowy
will-power,will-power
willy-nilly,willy-nilly
willy-willy,willy-willy
wilt,wilt
Wilton,Wilton
wily,wily
wimble,wimble
wimple,wimple
win,win
wincey,wincey
winch,winch
windage,windage
wind-bound,wind-bound
wind-break,wind-break
wind-breaker,wind-breaker
wind-cheater,wind-cheater
he is the one I mean,he is the man for the position
slow and steady wins the race,slow and steady wins the race
they won the battle in the end,they won the battle in the end
"to gain a victory, to win a victory over...","to gain a victory, to win a victory over..."
одержать победу над...,одержать победу над...
"we shall win the game , I warrant","we shall win the game , I warrant"
we won by a close shave,we won by a close shave
win a good name for oneself,win a good name for oneself
win a seat,win a seat
win by a head,win by a head
win one's latch-key,win one's latch-key
win one's laurels,win one's laurels
win one's letter,win one's letter
win one's spurs,win one's spurs
win one's way,win one's way
win recognition from the public,win recognition from the public
win the day,win the day
you have won me,you have won me
abandonee,abandonee
abase,abase
abash,abash
abashment,abashment
"See also: Abaddon , abandon , abandons","See also: Abaddon , abandon , abandons"
burial-mound,burial-mound
burial-place,burial-place
burialservice,burialservice
burin,burin
burke,burke
burl,burl
burning-glass,burning-glass
burnisher,burnisher
burnous,burnous
burnouse,burnouse
Burns,Burns
burn one's boats,burn one's boats
burn one's bridges,burn one's bridges
burn one's fingers,burn one's fingers
burn the candle at both ends,burn the candle at both ends
burn the earth,burn the earth
burn the water,burn the water
burn to a crisp,burn to a crisp
burn up the road,burn up the road
have money to burn,have money to burn
the house burned up,the house burned up
odourless,odourless
Odysseus,Odysseus
Oedipus,Oedipus
oestrum,oestrum
of,of
of-all-work,of-all-work
offal,offal
off-balance,off-balance
offblack,offblack
offcast,offcast
offchance,offchance
offday,offday
the house of my ancestors,the house of my ancestors
articles of clothing,articles of clothing
the works of Shakespeare,the works of Shakespeare
a creator of a new trend in art,a creator of a new trend in art
in search of a dictionary,in search of a dictionary
a lover of poetry,a lover of poetry
the deeds of our heroes,the deeds of our heroes
a pound of sugar,a pound of sugar
some of us,some of us
a member of congress,a member of congress
a glass of milk,a glass of milk
a man of his word,a man of his word
a man of talent,a man of talent
he died of pneumonia,he died of pneumonia
he asked it of me,he asked it of me
he comes of a worker's family,he comes of a worker's family
south of Moscow,south of Moscow
3 miles of London,3 miles of London
to cure of a disease (illness),to cure of a disease (illness)
the loss of power,the loss of power
to smell of flowers,to smell of flowers
the city of New York,the city of New York
by the name of John,by the name of John
a fool of a man,a fool of a man
he of all men,he of all men
"кто угодно, но не он","кто угодно, но не он"
that he of all men should do it!,that he of all men should do it!
artificial,artificial
artillerist,artillerist
artilleryman,artilleryman
artist,artist
artiste,artiste
artistic,artistic
as,as
asbestine,asbestine
ascendent,ascendent
Ascension-day,Ascension-day
Ascensiontide,Ascensiontide
As,as easy as falling off a log
as aux [z],as aux [z]
this is the same book as I lost,this is the same book as I lost
he was a foreigner as they perceived from his accent,he was a foreigner as they perceived from his accent
do as you are told,do as you are told
"some animals, as the fox and the wolf","some animals, as the fox and the wolf"
to work as a teacher,to work as a teacher
"6. когда, в то время как","6. когда, в то время как"
he came in as I was speaking,he came in as I was speaking
"он вошел, когда я говорил","он вошел, когда я говорил"
just as he reached the shore,just as he reached the shore
"I could not stay, as it was late","I could not stay, as it was late"
cunning as he is he won't deceive me,cunning as he is he won't deceive me
I was late,I was late
at a later date,at a later date
die in the last ditch,die in the last ditch
he did not write us till last week,he did not write us till last week
he did not write us until last week,he did not write us until last week
he is the last person I want to see,he is the last person I want to see
I don't know why they are late,I don't know why they are late
I'm afraid I'm late,I'm afraid I'm late
"я, кажется, опоздал (разг.)","я, кажется, опоздал (разг.)"
in later life,in later life
it's a long time since I saw him last,it's a long time since I saw him last
it will last my time,it will last my time
it will last out the winter,it will last out the winter
later on,later on
one's last will and testament,one's last will and testament
rather late in the day,rather late in the day
see you later,see you later
