en,ru
"""Thought""?","""Думал""?"
Where were you last night?,Где вы были вчера вечером?
"- He's a blonde, short...","-Он блондин,маленький..."
There'll be a storm later.,Вечером будет гроза.
"When he did show up, he seemed distracted.","А когда приходил, казался рассеянным."
He stayed with friends until the next morning.,Он был там с друзьями до утра следующего дня.
Target engine speed,3.2.5.3.2.1 Целевая частота вращения двигателя
Will shrink you till,"И думаешь,"
Get out! Why?,Выметайся!
Then this has something to do with your research.,Ёто имеет отношение к твоим исследовани€м?
Andris!,Андрис!
"All right? It shouldn't be too, uh difficult.",Это не должно быть слишком сложно.
I hold no ill will toward the man.,Я не держу зла против этого человека.
I count three guys.,Я насчитал троих.
Shouldn't you be at whole foods?,"Разве ты не должна быть в ""Whole Foods""?"
They kept the populace busy with entertainment.,Они пытались занять население развлечениями.
"No, we eliminate him from our enquiry.","Нет, мы исключаем его из нашего расследования."
- Nothing.,-Ничего.
I'm thirsty.,Я хочу пить.
1.620,1.620
I will.,Буду.
Mingxi,Mingxi
"Сентябрь 22, 2016, 08:57:26","Сентябрь 22, 2016, 11:56:26"
So did you get Izzie's message?,Ты получил сообщение от Иззи?
"I mean, since my divorce was finalized.","В смысле, с тех пор как я развелся."
- Danny...,- Дэнни...
She used me.,Она использовала меня.
...amazing. Oh.,...потрясающе.
- She's not in our rooms.,Игра.
You'll live.,"Ладно, жить будешь."
"Everything's fine, right?","Здесь красиво, правда?"
Architect,Architecte
"He was one of us, Cara.","Он один из нас,Кара."
Where the fuck have you been?,Где ты шляешься?
The requested URL /Two_Color_Injection_Molding_Machine_YH_TC_Series.html was not found on this server.,The requested URL /HighSpeed_Mixer.html was not found on this server.
- Hello?,— Алло?
"« Reply #43 on: October 28, 2008, 08:22:27 PM »","« Reply #43 on: October 28, 2008, 08:22:27 PM »"
Please take her out of here. - Murderer.,"Пожалуйста, уведите её."
Post subject: POLL what is your favorite planet,Post subject:
"No, I ain't snitched to 5-0 in, like, forever.","Нет. Я не стучал для копов уже, как минимум, вечность."
Rice and shrimp and...,Рис с креветками и...
[Original: Russian] [12 June 2000 ],[Подлинный текст на русском языке] [12 июня 2000 года]
As soon as your dog stops barking at me.,"Сразу же, как твой пес перестанет на меня гавкать."
"(Total anticipated retirements: 1,713)",(Общее предполагаемое число пенсионеров: 1713 человек)
We're havin' some decent friends over.,К нам зайдут в гости приличные друзья.
- We gotta find Frank right now. - No.,Нам надо срочно найти Фрэнка.
"Yes, they are a duplicitous bunch.","Да, они двуличные наглецы."
Send a private message to kellsupun,Send a private message to kpg
"Y... uh, yes.",Да...это я.
- The Crime Squad can't implicate Gilou.,- Убойный не сможет обвинить Жилю.
Let me see your hands!,"Руки так, чтобы я их видел!"
But don't go anywhere,Только не уходи.
I know it's a release party.,"- Я знаю, что это за вечеринка."
That fucking discussion is over.,"Больше, блядь, об этом ни слова."
"""Hello, this is a formal, anonymous complaint","""Здравствуйте."
Do you think you can get him?,"Думаешь, мог бы?"
86€ / €**,86€ / €**
Where is it?,Где Оно?
Fruit flies-- close enough.,Дрозофилы. Достаточно близко.
And thank you for trusting me.,"И спасибо, что доверяешь мне."
I have a--a picture.,У меня есть фотография
"Well, Saturdays...","Да, субботы..."
I hear that.,Я знаю.
France. - Eiffel tower.,Франция.
The arms bazaar was open.,Открылся оружейный базар.
"- Yeah, yeah.",- Ага
I've fought wars and I've led armies.,Я сражался и я полководец.
"- Oh, me, too.","- О, я тоже."
"Yes, sir.","Слушаюсь, сэр."
"Where you going, boss?","Куда вы, босс?"
The Security Council calls upon States to:,Совет Безопасности призывает государства:
- There he is.,- А вот и он.
"A profile in a sunday ""Post"" or...","Статью в воскресном ""Посте"" или... Я не помню."
"Foreign language: English Aliardus, 47",Родной язык: Русский
I know what needs to be done.,"Я знаю, что нужно сделать."
I-I have to find some way to make him stay.,"Я должна найти способ, как заставить его остаться."
An old lady,Староваты
http://3dpol.ub.ua/en/,http://filtracia.ub.ua/ru/
I forgot that you're on your feet all day.,"Я забыл, что вы весь день на ногах."
They made a fool out of me!,Это вам.
What Is The Barcelona Card?,"Что такое карточка ""Barcelona Card""?"
-For what?,- За что?
And yet everywhere I hear one name.,И ещё везде я слышу одно имя.
Why didn't you stay for a few days longer?,Почему вы не остались ещё на несколько дней?
Quicker is good.,Быстрее-это хорошо.
I deserve it.,Я его заслужила.
That's gonna hurt!,Будет больно!
It's not that simple.,Всё не так просто.
"Oh, did you guys take care of business?","И да, вы, ребят, разобрались?"
I've got everything I need. Really.,"Ничего, ничего..."
"M: 2,246,888","M: 2,392,712"
Mostly a negative one.,В основном негативный.
"-Yeah, I'm still here.","- Да, я всё ещё здесь."
"- Hi, Mrs. Jacobi.","Привет, миссис Джакоби."
It's us!,Это мы!
http://www.ted.com/talks/leymah_gbowee_unlock_the_intelligence_passion_greatness_of_girls.html,http://www.ted.com/talks/lang/ru/leymah_gbowee_unlock_the_intelligence_passion_greatness_of_girls.html
"12-20-2012, 08:52 AM #1","12-22-2012, 07:16 AM #1"
- What shall we do?,- Что будем делать?
"Yeah, I understand.","Да, понимаю."
"Oh, are they good?",- А они хорошие?
I also go to the wedding.,Я тоже иду на свадьбу.
One of them – Kamil Gadzhiev (on a photo).,Один из них –Камил Гаджиев(на фото).
I'll run position one.,Я на позиции один.
"And forgive my tone, but I am frustrated!","И простите за мой тон, но я расстроена!"
E. Infrastructure,Е. Инфраструктура
05.03.,31.10.
"-A traitor to journalism. -You're a journalist, Hildy!","- Свою профессию, журналистику!"
I don't believe that Michael just let you have it.,"Я не верю, что Майкл отдал её просто так."
That's Gran's!,— Это же бабулино!
I must always repeat myself 50 times.,Нужно 50 раз повторять.
JUST THE TWO OF US.,Только мы двое. Да.
Los Alamos (New Mexico) 505663 **** Phone,Лос-Аламос (Нью-Мексико) 505663 **** Телефон
Not till I talk to Bob Scott.,"Не раньше, чем я поговорю с Бобом Скоттом"
"- Oh, yeah, you do, do you?",-Да? ты так думаешь? Думаешь?
"They ask you, [O Muhammad], what they should spend.","Они спрашивают тебя, как им расходовать [свое достояние]."
You recommend the following page: http://www.gstadt.de/index.......ca3e8d6608522a5574ebc00d70c,Вы рекомендуете следующую веб-страницу: http://www.gstadt.de/index.......4ed23fc334e7a794db857e120df
"You just need some support, that's it.",Тебе просто нужна поддержка. Вот и всё.
Rule 5,Правило 5
- Scarlett?,- Скарлет?
"But, Ryan, you're a military man.",Но Райан? !
With my eyes.,Глазами.
So she cannot know?,Так она не сможет узнать?
Prague 2,1 2 3 4 5
- But he is in great trouble.,- Но у него большое несчастье.
"I mean, it's no good.","То есть, это плохой роман."
I told him I'd call.,Я обещала ему позвонить.
It had been told to them that I died.,"Им уже сказали, что я погиб."
"- Rip a little, talk a little. - Unh-unh. Unh-unh.","- Чуть мучаемся, чуть говорим."
So what are you going to do now?,"Итак, что ты собираешься делать теперь?"
You all right?,Ты в порядке?
And I am trying to just take a minute.,Я пытаюсь перевести дух.
A/C climate control,A / C климат контроль
It's so fun.,Это так весело.
Thanks a lot Jack!,"Я очень очень разочаровался в тебе,Таня."
I'm fine.,Я в порядке.
past the light... to the patterns of energy and matter.,через свет... на структуру энергии и вещества.
I have a wanking disease.,"У меня ""дрочильная"" болезнь."
A...,Успехи М...
My loves! My loves!,Любимые!
How was work? It was work.,- А как на работе?
I'm no homo.,Я не педик.
"The Sun: Sunrise 04:54, Sunset 19:16.","Солнце: Восход Солнца 05:57, Заход Солнца 19:59."
Booth!,Бут!
It's over.,Все позади.
"It's 7,000 men against 45,000.",Там будет 7 000 человек против 45 000.
You've earned it.,Ты это заслужил.
You fucking pervert.,Ты еб..ный извращенец....
"""To the best wingman ever.",Самому лучшему второму пилоту.
And Hallelujah! We shall rise,И мы вспомним пролитую кровь!
-Absolutely.,Абсолютно.
I'm fine.,Нормально.
Montserrat,Монтсеррат
"There you are, love.","Здравствуй, милая."
Or should cooperation be somehow institutionalized?,Или же такое сотрудничество следует закрепить на постоянной основе?
Wherever she is.,Где бы она ни была.
Wake up.,Просыпайся
He's grand.,Он дело говорит.
"Whenever you're ready, Data.","Как только будете готовы, Дейта."
- Khoumba?,- Кумба?
WRIST...,СИЛОВОЙ...
I do not want your touch!,Не прикасайся ко мне!
But it's all over.,Но это все кончено.
"I read ""the secret sharer"" last night.","Я читал ""Поделись секретом"" вчера вечером."
- It's just...,- Просто...
- You're kidding.,- Шутишь? - Не-а.
"Then, let us begin.",Тогда давайте начнем.
And that's what you missed on Glee.,"Вот, что вы пропустили в Хоре."
I have to.,Я обязана.
22/10/2009 at 5:42 PM,22/10/2009 at 5:42 PM
"What are you doing, Joanna?","Что ты делаешь, Джоанна?"
Solar Power Viper,Солнечная энергия
Calm and action are exactly one.,Спокойствие и действий в точности один.
A prison guard?,- Танцор? (участник танцевального шоу The Rockettes)
This is Special Agent Quinn.,Это специальный агент Куинн.
Yeah!,- Да-а!
"Damn it, Bauer!","Черт возьми, Бауэр!"
There's gotta be a link.,Должна же быть связь.
No one ever is.,Никто не готов.
Just like this.,Вот так.
Jamie at The Green Basket... and Jamie in a lab?,Джейми в Зеленой корзине... и Джейми в лаборатории?
You don't want to be late for your game.,"Не хочу, чтобы ты опоздал на игру."
"Yeah,yeah.","Да, да."
I'll do without him.,Обойдусь без этого.
His wife Maryanne's at home right now.,Его жена Мэриэнн сейчас дома.
That's all there is to it.,Вот что произошло.
Most popular cities in Argentina,Топ города Аргентины
тёмный-претёмный,тёмный-претёмный
- We must get you into hiding.,- Тебя мы должны спрятать.
Output data to additional external devices,Вывод данных на дополнительные внешние устройства
Give me a career as a buccaneer,"""Предложи мне карьеру пирата..."""
This is bullshit.,- Глупость все это.
Help!,Помогите!
So... he did cover her legal fees for the divorce?,Так...он покрыл её расходы на развод?
I've heard that before.,Я уже такое слышал.
"Do you mind, she's only 12.","Позволь напомнить, что ей еще 12 лет."
"Yeah, I'm trying, but it's not working.","Я пытаюсь, но не получается."
Standby for priority.,Готовность к первоочередной работе.
"It is currently Thu May 26, 2016 3:30 pm","It is currently Thu May 19, 2016 9:46 pm"
Villaflores 965653 **** Phone,Тлалнепантла Де Баз 555017 **** Телефон
"(low buzzing, clattering)",-
"Oh, you've gotta be kidding.","О, ты должно быть шутишь."
Kid's starting to take her first steps.,Ребенок начинает делать свои первые шаги.
She's fine.,- Всё нормально.
Just call me Chuck.,Зови меня Чак.
"And on the whole, a sheer delight","И в целом, все было восхитительно."
I didn't think I was supposed to.,"Я не думал, что должен был."
"She's not bad, but she's rusty.",Не так уж плохо.
Your father.,Твой отец.
Maybe.,Возможно.
RAINFALL'S BEEN BELOW AVERAGE FOR THE MONTH,Но за последний месяц осадков выпало ниже нормы.
The Minister wants something to announce.,"Министру надо хоть что-то, с чем он сможет сделать заявление."
She can take dead Gloria's part.,Она может сыграть роль Глории.
"""cake,"" ""tired,""","""торт"", ""устала"","
"Astana city 14 March , 10:20","Астана 14 Марта , 10:20"
9 July 2004,9 июля 2004 года
- Blow it!,- Взрывай!
They're taking him to the throne room as we speak.,"- Как мы и говорили, его ведут в тронный зал."
"Heather, stay off this channel, let him do his job.","Хэзер, не мешай ему работать."
"Foster, no.","Фостер, нет."
Лучшее.,Лучшее.
Comments (33),Comments (2)
- Two seats for the Group of African States;,- два места группе африканских государств;
It was all I could think about.,Я мог думать только об этом.
- How's it sonic?,— Почему она звуковая?
- Sorry.,- Извините.
I'll take over from Paul.,Я сменю Пола.
He does hail from the bottom of the Piz Palü.,Он родился у подножия Пиц-Палю.
that technique won't work on us!,эта техника на нас не работает!
- Don't care.,- Не знаю.
"Oh, well, then.","О, ну тогда хорошо."
"#20 諾努衫 10, wipe (00:06:16)","#23 Элегон 25 гер., вайп (00:02:24)"
"-How are you today, Chev?","- Как ты, Чев?"
I can't just drive.,Я не могу.
The yellow of the taxis. The blue...,Желтый цвет такси.
motocicletas (43),тир (45)
It is new.,Новенькая.
"A, nobody cares.",И - Осторожнее!
- Fucking scumbag!,— Вот засранец.
You've never had a picnic like this one.,"Уж поверь мне, ты никогда не был на таком пикнике."
[Upbeat Celtic music],.
Something was definitely not right.,"- Не отдаю, - говорит."
Bring them in.,Привози его.
Assholes.,"Мерзавцы, вы все мерзавцы!"
Why come to a place like this?,Зачем пришёл в такой клуб?
Do you want to get drunk with me tonight?,Ќе пропустишь со мной пару стаканчиков?
"Peruse this writing here,",Здесь все прочтешь.
You're forgetting about the mules.,Ты забыл про курьеров.
Is that what they think?,Они так думают?
"ilanset.com,","ilanset.com,"
As long as it's strictly business.,Если это только по делу.
Now I'm celebrating,"—ейчас € ""обмываю"""
"Fri, 05/06/2011 - 09:05 — James Carlsson","Пнд, 07/11/2011 - 13:31 — James Carlsson"
Have a nice life.,Всего тебе самого наилучшего по жизни.
The baby must be at least one month old now.,Моему ребёнку уже не меньше месяца.
"Just open it, it's been fixed.","Просто открой его, уже отремонтировали."
The neupogen's not working.,Нейпоген не помогает.
bellaz.fi,bellaz.fi
That know the strong'st and the surest way to get!,Кто брать умеет дерзостью и силой.
Re... You....,В..вы..
"You see, you're gonna help me with something.","Видишь ли, ты поможешь мне кое с чем."
I'm the handy one.,В этом доме я мастер.
Ignore feelings of guilt.,Игнорируй чувство вины.
Very funny.,Очень смешно.
"Sorry, what has this got to do with me?",Какое отношение это имеет ко мне?
"I know I didn't try to kill her,","Знаю, что я не пытался убить её."
You'll be fine.,Ты будешь в порядке.
"Oh,dear.",Боже.
You like him.,Он тебе нравится.
All States Parties must act to comply with their deadlines.,Все государства-участники должны действовать в порядке соблюдения своих предельных сроков.
We are practically a beer commercial.,Мы практически ходячая реклама пива.
I know you did.,Я знаю это!
The one you call the Blur.,"Того, кого вы называете Пятном."
- I have to return it.,- Я должен его вернуть.
"I'm gonna eat lunch in your trailer, in your bed!","Я пойду обедать в твой трейлер, к тебе в кровать!"
- Hey.,- Эй.
Then he deserves an academy award.,"Трёхлетний брак, активная половая жизнь."
Please try.,"Постарайся, пожалуйста."
You're afraid she'll turn on you.,"Боишься, что она тебя сдаст."
Anyway...,В общем...
The cracks in the skin of the universe.,Трещины в оболочке вселенной.
"Well, pleased to meet you, Captain.","Чтож, рад познакомиться, Капитан."
Sierraville (California) 530994 **** Phone,Сикесвилле (Мэриленд) 410875 **** Телефон
I love you.,Я тебя люблю.
Punjai Puliyampatti +29°C,Ватталагунду +27°C
I'm coming out!,Я выхожу!
Paragraph 49,Пункт 49
Courtney...,Кортни...
(33% обзоров),(100% обзоров)
United Nations Association Dominican Republic,Доминиканскую ассоциацию содействия Организации Объединенных Наций
- He was like a companion.,- Он был как товарищ.
"It's not confirmed, but I heard...","Это не подтвержено, но я слышала,"
You're the mommy.,Ты же мамочка.
That would be one way of becoming closer,Это был бы уже способ получше узнать друг друга.
Did they have a record of your call?,У них была запись вашего звонка?
"Let's keep this 1 0-35, okay?","Это конфиденциально, окей?"
"Rolex retailers in Annapolis, United States","Дистрибьюторы Rolex – Аннаполис, США"
Fuck no.,Хуй там.
Just stay close to me.,Просто держись рядом.
- You're gonna go off the cliff.,- Мы сорвемся.
- Name and phone number?,- Имя и номер телефона?
- What's up with the light?,"- Йо, чего вы на меня светите?"
The basis of your compliment in the first place?,"То, с чего начали свой комплимент?"
Your new heroes will still kill us.,Твои новые герои убьют нас.
Great to meet you.,Рад познакомиться.
"Posted: 03 Jul 2009, 08:13","Posted: 03 Jul 2009, 08:13"
Let me down!,ќпусти мен€!
We must be patient. Huh?,Мы должны терпеть?
Ask my brother.,Спроси моего брата.
How to manage competition issues with foreign investors,Как решать вопросы конкуренции с иностранными инвесторами?
His da invited us.,Его отец пригласил нас.
"Many wondrous things, Mr. Fishlegs.","Множество поразительных вещей, господин Рыбьеног."
"The UN/ECE BOT Group Guidelines,","Руководящие принципы Группы по СЭП ЕЭК ООН, посвященные"
No way.,Ни за что.
- How do I know.,- Откуда я знаю.
"Until then, don't pretend she's important.",До того дня забудь о ней.
- What a nice mother!,- Какая замечательная мама
How would that make me look?,- Как я буду выглядеть?
There's emotions and passions and philosophy involved,"Тут замешаны чувства, страсти и философия."
- It's beautiful.,- Оно прекрасно.
* Term of office expires on 31 December 2005.,* Срок полномочий истекает 31 декабря 2005 года.
"#14 교만의 샤 10, wipe (00:00:14)","#7 Галакрас 10, вайп (00:00:34)"
"Uh, me.",Я сам.
10/08/2017,14/07/2016
Source: SACR,Источник: Grand hotel Permon ****
The Monegasque authorities made comments on that recommendation.,Монегаскские власти высказали замечания в отношении данной рекомендации52.
- Not if I stay,"- Не пропадёт, если я останусь."
- I'm not stopping until we get to the town!,"- Я не остановлю, пока мы не доберемся до города!"
You're a judge?,Ты судья?
Sad. Who knows what she could after that happens.,"Никто не знает, что может случиться."
- There's nothing left.,- Тогда Вам ничего не остается.
All of the villa’s rooms have Internet connection (WLAN).,Все комнаты виллы имеют подключение к Интернету (WLAN).
Made in Germany,Made in GERMANY
You're not the only one who can improvise.,Не один ты умеешь импровизировать.
Um... what else?,Что еще?
Loophole? What loophole has he got?,Мистер Пуаро!
December (45),Декабрь (61)
He's been my back neighbour for three years.,Он был моим соседом в течение 3 лет.
On what ?,На какое?
No...,Нет...
Lachuks Failā.:),Lachuks Failā.
Nobody move!,Никому не двигаться!
Veto the motion !,Наложи вето!
Spain actively participated in both sets of negotiations.,Испания принимала активное участие в обоих раундах переговоров.
- Say it again.,- Повтори еще раз.
- Five.,-Пять.
I'd like to see you do it without me.,Посмотрим как ты справишься без меня.
I'm a sexual anorexic.,У меня сексуальная анорексия.
All right.,"Ну, ладно."
Моранда,Моранда
+13,+11
I don't mean you.,Я имел ввиду не вас.
"#5 강철의 퀀 10H, wipe (00:03:48)","#4 강철의 퀀 10H, wipe (00:03:56)"
Facing her body.,Направленный на неё.
I- - I have a newborn baby.,У меня... у меня новорожденный ребенок.
He said that we should see Mr Gannon.,"Сказал, что мы должны встретиться с Гэнноном."
1998.,23-25.
"Sorry, I haven't called you back.","Прости, я так и не позвонила тебе."
Overview news (11459),Новости (-17815)
It's just so annoying.,Так раздражает.
"Harriet! Here is your master, Harriet.","Хэрриет! Здесь твой хозяин, Хэрриэт."
There is none who could avert it.,и ничто не отвратит его.
"Shexian EPA, Handan Air Quality.",Nanzi качества воздуха.
You were in the Corps?,Ты служил в Корпусе?
We have more important things to do now.,Сейчас у нас дела поважнее.
Sculptor jata has brought you a gift.,Скульптор Джата принес тебе подарок.
We can't show him that.,Ему нельзя это показывать.
This...,Да это же...
"Uh, that's Dylan Morris our star witness.",- Это Дилан Моррис- наш главный свидетель.
"Please, Excellency...",Ваше превосходительство.
We'll be all right.,Всё у нас будет хорошо.
"Wait a little, Mirsa!","Мирса, погоди чуток! Мирса!"
Hey Kita.,"Эй, Кита-сан!"
Your favourite metaphor for your work.,Твоя любимая метафора о нашей работе. Ладно.
- Got it!,- Нашёл!
Transfer student.,Ученица по обмену.
"Ow. ooh, ooh.","Ой. оо,оо."
"Baby girl, check middle and high school records.","Малышка, проверь записи средней и старшей школ."
This record is subject to correction.,В настоящий отчет могут вноситься поправки.
(e) Urging the Government of National Unity:,e) настоятельно призвал бы правительство национального единства:
Thank you.,- Тебе спасибо.
My dad traveled when I was a kid.,- Мой отец много ездил.
"Yeah, you said it.",Это ты сказал. Ты сказал!
"- ""Listen with your eyes""?","- ""Слушай глазами""?"
Jackson (Kentucky) 606666 **** Phone,Джексон (Кентукки) 606666 **** Телефон
"And Rewa and Jasmine, they were in the house.",Рива и Жасмин были в доме.
Hmm.,Хмм..
Where did you go on your summer vacation?,Куда ты ездил на летних каникулах?
I lie the truth.,Я вьiдумьiваю правду.
"And when she comes back, no comments about missing eyebrows.","А когда она вернётся, никаких комментариев насчёт пропавших бровей."
26.01.00 00:00,16.07.99 00:00
"Immerseus 25Hc #1 Immerseus 25Hc, wipe (00:05:04)","#28 General Nazgrim 25Hc, wipe (00:02:28)"
- Who brought you here?,- Кто с вами пришёл?
All in favor?,Кто за?
http://rapidgator.net/images/pics/170_1.gif,http://rapidgator.net/file/f823b7da0.../W837.mp4.html Citar
- l know.,- Знаю.
Where do you push?,Куда нажимать?
"« Reply #38 on: August 03, 2009, 01:31:29 AM »","« Reply #39 on: June 13, 2011, 08:49:14 AM »"
I saw you fall.,"Я видела, как ты упал."
You took it!,Эй!
What... what the hell is going on?,Да что это такое?
"Good heavens, what on earth is wrong?","Святые небеса, что случилось?"
My ancient Druid's a little rusty.,У меня плоховато с древнедруидским.
That would be part of the lying you mentioned.,"Это одна из частей лжи, о которой ты говорила."
♪ Boys-- they like the look of danger ♪,*Парням нравится опасность*
Long ago rain fell on mud and became rock.,"Давным-давно, дождь полил грязь и она стала камнем."
"Hassan Malik. ""The Mal"".","Хассан Малик. ""Мал""."
#26 Unknown encounter (00:01:38),#26 Unknown encounter (00:01:38)
Why do you tell to me this now?,Почему вы говорите мне это только сейчас?
So?,Тогда что?
ЭНДОКАРД,ЭНДОКАРД
"ALLEGHENY MOUNTAINS, WEST VIRGINIA, 2005","Аллеганские горы, Западная Вирджиния, 2005 г."
They're back.,Вернулись.
Rating - 103,Рейтинг - 101
What?,- Что?
- But he's blind...,"- Ну, так что?"
"I was in the... afternoon spray, I guess.","Я был.... под брызгами дня, наверно"
There's more where she came from.,"Там, откуда она, еще много осталось."
"So, uh, how did you guys get together?","Так, как вы сошлись?"
We're going to die in here.,Мы умрем здесь.
Why would she change her MO?,Почему она изменила свой образ действий?
Total 328 0,30% 0 0%
- Yeah. You didn't hear me?,"Да, а ты меня не слышал?"
Credit cards accepted on location:Visa Visa Electron MasterCard,Кредитные карточки принимаются на месте:Visa Visa Electron MasterCard Maestro UK
"I love you, Steve.","Я люблю тебя, Стив."
You won't be so lonely.,Ты не будешь одинока.
"Come on, you disappointed corpse, you.","- Пошли, покойник неудавшийся!"
Paid at the salary scale.,- Оплата по утвержденным расценкам.
I have her cell phone.,У меня ее мобильный.
I'll bring the knife back.,Я верну нож.
"« Reply #1 on: August 14, 2009, 08:40:36 AM »","« Reply #150 on: November 21, 2009, 12:56:13 PM »"
- Let's look down here.,- Давайте посмотрим здесь. - Вы смотрите здесь.
"Conference Centres in India - Bikaner, venues, business hotels, congresses","Конференционные центры в India - Bikaner, venues, business hotels, congresses"
beam (m):2.95 draft (m):0.9,ширина (м):4.07
Macks Creek (Missouri) 573363 **** Phone,Маскс Крик (Миссури) 573363 **** Телефон
Four publications were issued on enterprise internationalization and SME competitiveness:,Выпущены четыре публикации по интернационализации предприятий и конкурентоспособности МСП:
You have no right to tell us what to do.,Вы не имеете никакого права указывать нам.
That explains why it smelled so musty.,Так вот почему он пах плесенью.
24/04/2009 22:31 #6,22/06/2013 04:54 #7
We'll leave at once.,"Мы, наконец, отчалим."
But the prophecy is broken!,Но пророчество не сбылось!
You're not a serf.,"Ладно, хватит."
Not all of him.,Не совсем.
14:08 July 7. 2015,14:28 23 Август. 2015
Dwight.,Дуайт.
I'm taking you with me.,Я возьму тебя с собой.
"No, you're the first.","Нет, вы первый."
Leave it!,Брось!
Just don't do anything stupid like burn it down.,"Просто постарайся не наделать глупостей, не спали тут все."
Excuse me.,Простите.
"m: 2,132,896","m: 2,141,552"
Niger,Объединенная Республика Танзания
That's why you sleep.,На то он и сон.
"Which is a real thing, by the way.",Кстати это реально интересная вещь
- I just asking about that.,- Я просто спросил.
"lovely, lovely.",Весьма рад.
You're busy all the time?,Ты занят все время?
"The library, 'tis sometimes locked.",Библиотека бывает иногда закрыта.
You're actually serious?,"Вы что, всерьёз?"
Anybody help me with Nancy Patterson?,Мне кто-нибудь поможет с Нэнси Паттерсон?
Where does that leave things?,Что это значит?
I mean It's sound realy tirious,"Я, наверное, уже утомила,"
' ”,"""."
Give us a kiss.,Поцелуешь?
So I allowed the infidels respite and then seized them.,"Я дал отсрочку неверным, а потом наказал их."
Nope.,- Нет.
"CPU_VARIANT:=$(CPUDIR)$(subst $(space),,$(foreach v,$(filter $(cpu_variants),$(VARIANT_LIST)),_$(v)))","CPU_VARIANT:=$(CPUDIR)$(subst $(space),,$(foreach v,$(filter $(cpu_variants),$(VARIANT_LIST)),_$(v)))"
This is your new home.,Вот Ваш новый дом
10. Do not torment music in a shower,10. The nature
"Maybe she did fight, Bones, you know?","Кости, может, она и боролась?"
I don't think I like what you're saying.,"Не нравится мне то, что ты имеешь в виду."
Comments and Proposals of the Government of Nigeria,Замечания и предложения правительства Нигерии
"But you're not weird, are you?",Но ты же ведь не поехавший?
"In the sky,","а) гористый, горняк;"
You looked at a dick and balls!,Ты посмотрела на член с яйцами!
(b) Also took note of Board decision IDB.30/Dec.3;,b) приняла к сведению также решение Совета IDB.30/Dec.3;
"That you can do anywhere, anytime, to anybody.","Ненавидеть вы можете где угодно, когда угодно и кого угодно."
I'm so excited.,Я так взволнована.
And Delfino's body was found an hour later.,Тело Делфино было найдено через час.
(Grunting) Twice in a week.,Twice in a week.
Have you ever cheated on your fiance before?,Ты когда либо изменял своей невесте?
Hey.,Привет.
Objective 1: strengthening face-to-face teaching and research,Цель 1: развитие очного обучения и исследований
Hasn't anyone told you curiosity is a terrible defect?,"Ты знаешь, что любопытство - это очень плохо?"
"68, to be exact.","68 раз, если быть точным."
0011-09,0011-09
What are you talking about?,-О чём ты говоришь?
- Is she that bad?,– Так плохо дело?
Something like that.,Что-то вроде этого.
"CAN WE GET SOME ROLLS HERE, PLEASE?","Можно нам еще роллов, пожалуйста?"
Which are IPAP key aspects of security?,Что еще подразумевает IPAP под ключевыми аспектами безопасности?
White.,Уайт.
_,- И? - Сам посмотри.
"Quote from: amz181 on October 13, 2009, 10:18:59 AM","April 16, 2012, 10:31:53 PM"
So lovely!,Ты такая милая!
You are very clever.,Вы очень умны.
"No, Josh, it was moved here.","Нет, Джош. Её сюда положили."
"Hey, pindy, I returned your ""icarly"" box set.","Эй, Пинди, я вернул твои двд-диски ""iCarly""."
- But why?,- Но почему?
How can you speak thusly?,Как ты можешь так говорить?
======= Тактички свет 129,======= Свет 125 [x2]
"There's no running away from this one, you understand me?","Ты не сможешь от этого убежать, ты понимаешь?"
We're not at war yet.,Мы еще не на войне.
"No, because that's not true.","Нет, потому что это не так."
"I mean, Riley didn't even drink.","Это я к тому, что Райли даже не пил."
"Stop the train, please.","Останови, пожалуйста, поезд."
"Yes, I am alive!","- Да, я жива!"
"Find On Map Commerzbank Headquarters, Frankfurt, Germany Photo Gallery (12)","Найти на Карте Европа-Алли 12-22, Франкфурт, Германия Фото Галерея (4)"
Jeremy away to art school?,Джереми уехал в школу искусств?
Who is it?,Кто там?
#4 Sha de l’orgueil 25H (00:07:01),"#5 Sha de l’orgueil 25, wipe (00:05:19)"
I hope you're right.,Я надеюсь вы правы.
"He's not online, he's never gonna find out. What?","Его нет в сети, он никогда не узнает."
I see. Sorry to bother you so late.,Ну...
We spoke on the phone last week. I'm nora durst.,Мы созванивались на прошлой неделе.
We are now approaching you.,Мы приближаемся к вам.
It's not her.,Это не она.
As Samawah +41°C,Бехбехан +35°C
C. Third safeguard,С. Третья мера защиты
OCr18Ni9,OCr18Ni9
"Well, just easily bored, I suppose.","Ну, просто небольшой зануда, я полагаю."
Ruth Cavanagh.,Рут Кавана.
So they tell me.,Так говорят.
"* Harvey, William Henry.","* Харви, Уильям Генри."
"Just hold on a second, okay?","Просто подожди секунду, хорошо?"
No wonder he didn't want to cuddle.,То-то ему обниматься не нравилось...
"Who lives there, then?",Кто тогда там живет?
You can explain your side of the story.,Ты сможешь объяснить свою версию произошедшего.
Yes you do.,"Нет, думаешь."
I can drive with just the left pod.,Я могу двигаться с одним левым.
"Well, the sheriff sure isn't.",А вот шерифу нет.
It's who I was stuck there with.,"Проблема была в том, с кем я там оказался."
перепорхнуть,перепорхнуть
Who was that?,Кто это был?
Appreciate it.,"Спасибо, я ценю это."
Had.,Было.
"No, you should go back to work.",иди работать.
